,Unnamed: 0.1,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestCOneThirtyCSeventeen
0,0,AS,PAGO PAGO, American Samoa Government ,Territory of American Samoa Pago-Pago 96799 American Samoa, 684 633-4251 , 684 633-5281 ,,- 14 15 59 S ,-170 40 59 W,-14.266388888888883,-170.68305555555554, Seaport , Medium ,Yes,,,Yes,Yes, Small , Good , Over 500 feet in length , Coastal Natural ,Yes,Yes,No,No,Yes,76 - over ft,21 - 25 ft,3.0,36 - 40 ft,36 - 40 ft,No,Yes,Yes,,Yes,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes, Limited ,Up to 200 tons,,
1,0,AU,ABBOT POINT, Ports Corporation of Queensland ,"GPO Box 409 Brisbane, Queensland 4001 Australia",,, info@pcq.com.au ,- 19 55 20 S ,148 3 20 E,-19.922222222222224,148.05," Pier, Jetty or Wharf ", Very Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Proserpine Whitsunday Coast Airport
2,1,AU,ADELAIDE, Flinders Ports Pty Ltd ,"296 St Vincent Street Port Adelaide, South Australia 5015 Australia", 61 8 8447 0611 , 61 8 8447 0606 , flindersports@flindersports.com.au ,- 34 51 24 S ,138 29 17 E,-34.85666666666667,138.48333333333332, Seaport , Medium ,Yes,175.0,75130,Yes,Yes, Medium , Excellent , Over 500 feet in length , River Natural ,Yes,Yes,No,,No,26 - 30 ft,36 - 40 ft,2.0,31 - 35 ft,31 - 35 ft,Yes,Yes,Yes,No,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes, Moderate ,"over 1,000 tons",,Adelaide Airport
3,2,AU,AIRLIE ISLAND,,,,,,- 21 19 22 S ,115 10 2 E,-21.322777777777773,115.16666666666669,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Onslow Airport
4,3,AU,ALBANY, Albany Port Authority ,"85 Brunswick Road Albany, Western Australia 6330 Australia", 61 8 9892 9000 , 61 8 9841 7566 , apa@albanyport.com.au ,- 35 2 0 S ,117 51 1 E,-35.03333333333333,117.85, Deepwater Seaport , Small ,Yes,175.0,75051,No,Yes, Medium , Good , Over 500 feet in length , Coastal Natural ,Yes,,Yes,,No,31 - 35 ft,31 - 35 ft,2.0,31 - 35 ft,31 - 35 ft,Yes,Yes,Yes,No,Yes,Yes,Yes,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes, Limited ,Up to 200 tons,,Albany Airport
5,4,AU,ARDROSSAN, ABB Grain ,"Old Boat Ramp Road Ardossan, South Australia 5571 Australia", 08 8837 3306 , 08 8837 3639 ,,- 34 25 59 S ,137 55 0 E,-34.433055555555555,137.91666666666666," Pier, Jetty or Wharf ", Very Small ,Yes,175.0,,No,Yes, Very Small , Poor , Over 500 feet in length , Open Roadstead ,No,,Yes,Yes,No,26 - 30 ft,11 - 15 ft,3.0,41 - 45 ft,,Yes,Yes,Yes,No,,,,,,,,,,,,Yes,Yes,No,No,Yes,No,None,,,Edinburgh Airport
6,5,AU,BALLAST HEAD, Ballast Head Port Authority ,"PO Box 58c/o C S R Building Material Rosewater East, S A 5013 Australia", 61 8 8348 1400 , 61 8 8348 1423 ,,- 35 44 59 S ,137 45 41 E,-35.749722222222225,137.75," Pier, Jetty or Wharf ", Very Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kingscote Kangaroo Island Airport
7,86,AU,BALLINA,,,,,,-28 52 S,153 34 E,-28.86666666666667,153.56666666666666,,,Yes,127.0,,,Yes,Small,Good,less than 500 feet,River Natural,,,Yes,,Yes,11 - 15 ft,11 - 15 ft,2.0,11 - 15 ft,,Yes,Yes,,,Yes,Yes,Yes,,,,,Yes,Yes,,,,Yes,,,Yes,Yes,Limited,,Up to 656 ft,Ballina Byron Gateway Airport
8,6,AU,BARROW ISLAND,,,,,,- 20 49 36 S ,115 24 25 E,-20.826666666666668,115.4,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Barrow Island Airport
9,88,AU,BATEMANS BAY,,,,,,-35 42 S,150 10 E,-35.7,150.16666666666666,,,,127.0,75251,,Yes,Very Small,Good,,Coastal Natural,,No,,Yes,Yes,51 - 55 ft,11 - 15 ft,1.0,31 - 35 ft,,,,,,,Yes,Yes,,,,,,,,,,,,,Yes,,Emergency only,,,Moruya Airport
